id;accession_number;artist;artistRole;artistId;title;dateText;medium;creditLine;year;acquisitionYear;dimensions;width;height;depth;units;inscription;thumbnailCopyright;thumbnailUrl;url
23707;T10039;Stothard, Thomas;artist;531;Studies of Nude Female Figures Bathing, Dancing, Etc. Verso: Draped Figures with a Harp, the Head of a Faun, Etc.;date not known;Graphite and ink on paper. Verso: ink and watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1997;support: 76 x 322 mm;76;322;;mm;;;;http://www.tate.org.uk/art/artworks/stothard-studies-of-nude-female-figures-bathing-dancing-etc-verso-draped-figures-with-a-t10039
62955;D35867;Turner, Joseph Mallord William;artist;558;Lake, with Mountains;after c.1830;Chalk, crayon and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1830;1856;support: 236 x 325 mm;236;325;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/258688b7ade805cac6be3a021c80e683;http://www.tate.org.uk/art/artworks/turner-lake-with-mountains-d35867
6406;T04359;Highmore;artist;2259;[title not known];date not known;Drawing and watercolour on paper;Presented by Mrs Joan Highmore Blackhall and Dr R.B. McConnell 1986;;1986;;;;;;;;;http://www.tate.org.uk/art/artworks/highmore-title-not-known-t04359
62597;D35476;Turner, Joseph Mallord William;artist;558;Dieppe Castle and the Beach;1845;Graphite, gouache and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1845;1856;support: 232 x 332 mm;232;332;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/937e59124ed931c12a5abed316f47283;http://www.tate.org.uk/art/artworks/turner-dieppe-castle-and-the-beach-d35476
64061;D40300;Turner, Joseph Mallord William;artist;558;"Mayburgh and King Arthur’s Round Table, Penrith; St John’s in the Vale, Keswick; Yanwath Hall, Penrith; and a Sketch";1831;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1831;1856;support: 267 x 213 mm;267;213;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/81a3ac1db3fca47b5fd832e15a157467;http://www.tate.org.uk/art/artworks/turner-mayburgh-and-king-arthurs-round-table-penrith-st-johns-in-the-vale-keswick-yanwath-d40300
23870;T08530;Turner, Joseph Mallord William;attributed to;558;On the Thames;date not known;Graphite and watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1997;support: 275 x 212 mm;275;212;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f16fb54d42a416c4201ae07874789fd5;http://www.tate.org.uk/art/artworks/turner-on-the-thames-t08530
24212;T08326;Dance-Holland, Sir Nathaniel;artist;136;[title not known];date not known;Graphite, ink, watercolour and chalk on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1996;support: 122 x 156 mm;122;156;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/3e91f2434bfc8a43d7cc72173d71dd5b;http://www.tate.org.uk/art/artworks/dance-holland-title-not-known-t08326
63650;D36565;Turner, Joseph Mallord William;artist;558;Rome: The Ruined Nymphaeum of Alexander Severus (‘Temple of Minerva Medica’);c.1796;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1796;1856;support: 217 x 234 mm;217;234;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/2987fd385de216abf13c1a4766332390;http://www.tate.org.uk/art/artworks/turner-girtin-rome-the-ruined-nymphaeum-of-alexander-severus-temple-of-minerva-medica-d36565
63730;D36647;Girtin, Thomas;artist;211;A Lake and Mountains ?in Westmorland;c.1797;Gouache, graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1797;1856;support: 78 x 121 mm;78;121;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/56a0e467d414e834b9d2f9d8e138276c;http://www.tate.org.uk/art/artworks/girtin-a-lake-and-mountains-in-westmorland-d36647
14929;N05240;Turner, Joseph Mallord William;artist;558;Luxembourg from the Alzette Valley to the North;c.1839;Gouache and watercolour on paper;Bequeathed by Beresford Rimington Heaton 1940;1839;1940;support: 140 x 187 mm;140;187;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/2440697e68db8bfa2cde1d3ecb5316b3;http://www.tate.org.uk/art/artworks/turner-luxembourg-from-the-alzette-valley-to-the-north-n05240
670;T02104;Ayrton, Michael;artist;681;Study for ‘Greek Landscape II’;1960;Watercolour on paper;Presented by the Institute of Contemporary Prints 1976;1960;1976;support: 210 x 276 mm;210;276;;mm;;© The estate of Michael Ayrton;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/2a760508eaba5290a91b75a43c1f61c4;http://www.tate.org.uk/art/artworks/ayrton-study-for-greek-landscape-ii-t02104
62279;D35150;Turner, Joseph Mallord William;artist;558;Zwingenberg on the Neckar;1844;Graphite, watercolour and pen on paper;Accepted by the nation as part of the Turner Bequest 1856;1844;1856;support: 229 x 329 mm;229;329;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/df186bc76d84696b594dc21b780f3e3c;http://www.tate.org.uk/art/artworks/turner-zwingenberg-on-the-neckar-d35150
23867;T08220;Turner, Joseph Mallord William;artist;558;Red Sails at Chioggia;date not known;Watercolour and gouache on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1996;support: 165 x 250 mm;165;250;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/29a028112d9b794f55806209de4970ed;http://www.tate.org.uk/art/artworks/turner-red-sails-at-chioggia-t08220
52596;D25259;Turner, Joseph Mallord William;artist;558;A Colour Wash Underpainting, with Diffused Cloud Forms;?late 1810s to mid–1820s;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1815;1856;support: 302 x 439 mm;302;439;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f24821b9084264009391baa532216766;http://www.tate.org.uk/art/artworks/turner-a-colour-wash-underpainting-with-diffused-cloud-forms-d25259
52039;D24702;Turner, Joseph Mallord William;artist;558;The Folies-Siffait from the East;c.1826–8;Watercolour, gouache and pen and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1826;1856;support: 145 x 196 mm;145;196;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5561affb15df1fc16e00ea9d73493024;http://www.tate.org.uk/art/artworks/turner-the-folies-siffait-from-the-east-d24702
63046;D35958;Turner, Joseph Mallord William;artist;558;A Harbour with Shipping;c.1845;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1845;1856;support: 237 x 315 mm;237;315;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/bd0577d0d5caf6f548c9580bbb2cb113;http://www.tate.org.uk/art/artworks/turner-a-harbour-with-shipping-d35958
44358;D17002;Turner, Joseph Mallord William;artist;558;Lecture Diagram: ‘Euclid’s Elements of Geometry’, Book 4, Propositions 10, 15, and 16;c.1817–28;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1817;1856;support: 677 x 1010 mm;677;1010;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/37fa7167a075abe32d2e66c1cb53e040;http://www.tate.org.uk/art/artworks/turner-lecture-diagram-euclids-elements-of-geometry-book-4-propositions-10-15-and-16-d17002
13465;N05457;Smart, Edgar Rowley;artist;1952;Pinewoods under the Snow;1934;Ink and watercolour on paper;Presented by Dr Barnett Stross 1944;1934;1944;support: 571 x 397 mm;571;397;;mm;date inscribed;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/d3a0b0b17cc57f27ab8c64c3fdc9c225;http://www.tate.org.uk/art/artworks/smart-pinewoods-under-the-snow-n05457
23816;T11004;Tonks, Henry;artist;2055;Charity Organization Society;date not known;Graphite, watercolour and ink on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1997;support: 259 x 377 mm;259;377;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c356158aaf3fae9c427701ae4224e2a4;http://www.tate.org.uk/art/artworks/tonks-charity-organization-society-t11004
23821;T08566;Towne, Francis;artist;553;The Walls of Rome;date not known;Ink and watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1997;support: 154 x 211 mm;154;211;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0c1f35201c3b5372aa5ff5f43f90acc4;http://www.tate.org.uk/art/artworks/towne-the-walls-of-rome-t08566
56278;D29006;Turner, Joseph Mallord William;artist;558;Passau;c.1834;Gouache, graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1834;1856;support: 135 x 188 mm;135;188;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0cd22ae7a4895e9ba701f350d2cbab7d;http://www.tate.org.uk/art/artworks/turner-passau-d29006
62600;D35480;Turner, Joseph Mallord William;artist;558;A Grand Interior with Arched Windows ?at the Château d’Eu;1845;Graphite, gouache and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1845;1856;support: 232 x 332 mm;232;332;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/7d9f53c9ebb6d3b6e1f4f79b5a92a305;http://www.tate.org.uk/art/artworks/turner-a-grand-interior-with-arched-windows-at-the-chateau-deu-d35480
62355;D35227;Turner, Joseph Mallord William;artist;558;Stormy Sky;1844;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1844;1856;support: 229 x 658 mm;229;658;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6a44a238e448c97061df4b58ffb4c634;http://www.tate.org.uk/art/artworks/turner-stormy-sky-d35227
39894;D12526;Turner, Joseph Mallord William;artist;558;Study of Sky;c.1816–18;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1816;1856;support: 125 x 247 mm;125;247;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0b16a99b6670fca896e6c65e699c6ed1;http://www.tate.org.uk/art/artworks/turner-study-of-sky-d12526
7574;A00544;Jones, George;artist;300;[title not known];date not known;Ink, watercolour and graphite on paper;Presented by the artist's widow 1888;;1888;;;;;;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/215ed35c2fc1b2a5bb8141c7b53ad9c6;http://www.tate.org.uk/art/artworks/jones-title-not-known-a00544
22863;T10840;Flaxman, John;artist;186;[title not known];date not known;Graphite, pen and watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1997;support: 198 x 156 mm;198;156;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/88fe93f560daf0eea4bfb9acc72df7e8;http://www.tate.org.uk/art/artworks/flaxman-title-not-known-t10840
1832;N05165;Burra, Edward;artist;837;[title not known];1940;Gouache and watercolour on paper;Purchased 1940;1940;1940;support: 1022 x 698 mm frame: 1120 x 792 x 36 mm;1022;698;;mm;date inscribed;© Tate;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9debc7abdfa1baf78424739f1e8245c7;http://www.tate.org.uk/art/artworks/burra-title-not-known-n05165
5461;T01604;González, Julio;artist;1188;Transplanting and Watering;1921;Watercolour on paper;Presented by Mme Roberta Gonzalez-Richard, the artist's niece 1972;1921;1972;support: 251 x 324 mm;251;324;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/ffaee255adad065a6c1f8c986653ecc3;http://www.tate.org.uk/art/artworks/gonzalez-transplanting-and-watering-t01604
23879;T09272;Underwood, Thomas Richard;artist;2463;Mountain, Stream and Bridge;date not known;Watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1997;support: 152 x 219 mm;152;219;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/dae93959faea4a9b8714d5caaea859b6;http://www.tate.org.uk/art/artworks/underwood-mountain-stream-and-bridge-t09272
63262;D36175;Turner, Joseph Mallord William;artist;558;The Great St Bernard;after c.1830;Gouache and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1830;1856;support: 255 x 279 mm;255;279;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/3b41b01fc8a4ee74fbdc8390f78ad8bb;http://www.tate.org.uk/art/artworks/turner-the-great-st-bernard-d36175
56234;D28962;Turner, Joseph Mallord William;artist;558;Ruins on Rock;c.1834;Gouache and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1834;1856;support: 137 x 190 mm;137;190;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/3326bafad83ce679d7ff43d275b44074;http://www.tate.org.uk/art/artworks/turner-ruins-on-rock-d28962
62147;D35008;Turner, Joseph Mallord William;artist;558;?The Hardermannts;1844;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1844;1856;support: 223 x 328 mm;223;328;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/399dd4a5961a5374ce1acba1caff02e9;http://www.tate.org.uk/art/artworks/turner-the-hardermannts-d35008
20587;T06671;Blake, William;artist;39;The Fall of Rosamond (after Thomas Stothard);1783;Etching, engraving and watercolour on paper;Purchased 1992;1783;1992;image, circular: 306 x 306 mm;;;;;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/7b728f5ed77c01b17087b30671de29be;http://www.tate.org.uk/art/artworks/blake-the-fall-of-rosamond-after-thomas-stothard-t06671
23832;T08527;Towne, Francis;artist;553;A View at Pines the Seat of Sir Stafford Northcote Bart near Exeter;1778;Ink and watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;1778;1997;support: 271 x 372 mm;271;372;;mm;date inscribed;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9da855cdb54332082553517f64d70e53;http://www.tate.org.uk/art/artworks/towne-a-view-at-pines-the-seat-of-sir-stafford-northcote-bart-near-exeter-t08527
28621;D01212;Turner, Joseph Mallord William;artist;558;The Lilburn Tower, Dunstanburgh Castle, with the Sea and a Stormy Sky;?1797;Graphite, watercolour and gouache on paper;Accepted by the nation as part of the Turner Bequest 1856;1797;1856;support: 113 x 93 mm;113;93;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/687b51a3e6395ebba002c0fed8f31895;http://www.tate.org.uk/art/artworks/turner-the-lilburn-tower-dunstanburgh-castle-with-the-sea-and-a-stormy-sky-d01212
63554;D36469;Turner, Joseph Mallord William;artist;558;At Gaeta;c.1794–8;Ink wash and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1794;1856;;;;;;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f7f65040b8de32e70a09c7abab8e27e3;http://www.tate.org.uk/art/artworks/turner-girtin-at-gaeta-d36469
55068;D27742;Turner, Joseph Mallord William;artist;558;Tonal Preparation for a Composition, with a Face;c.1834–6;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1834;1856;support: 79 x 101 mm;79;101;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c68e966278d8820e4c0ce700fd6d3a1a;http://www.tate.org.uk/art/artworks/turner-tonal-preparation-for-a-composition-with-a-face-d27742
63011;D35923;Turner, Joseph Mallord William;artist;558;(Grey Sky over Yellow Sands);c.1840;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1840;1856;support: 225 x 282 mm;225;282;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/7fcaf822841a20b3a77a2ebcdf3d5c40;http://www.tate.org.uk/art/artworks/turner-grey-sky-over-yellow-sands-d35923
24380;T10444;Law, Alfred;artist;2623;A Gateway with Sunny Landscape;date not known;Graphite, watercolour and gum arabic on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1997;support: 70 x 52 mm;70;52;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/ff46a90ff503a3b621d46e058fbf2943;http://www.tate.org.uk/art/artworks/law-a-gateway-with-sunny-landscape-t10444
35614;D08225;Turner, Joseph Mallord William;artist;558;Study for Phryne [Turner];c.1802–10;Pen and ink and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1802;1856;support: 140 x 302 mm;140;302;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/a42f53b2555b33ddb38a00f50dfe89eb;http://www.tate.org.uk/art/artworks/turner-study-for-phryne-turner-d08225
63720;D36637;Girtin, Thomas;artist;211;Rochester Cathedral from the North East, with the Castle Beyond;c.1797;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1797;1856;support: 78 x 122 mm;78;122;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/2a74f260f675e14433ee52f4d24cc4d6;http://www.tate.org.uk/art/artworks/girtin-rochester-cathedral-from-the-north-east-with-the-castle-beyond-d36637
46099;D18746;Turner, Joseph Mallord William;artist;558;Hilly Landscape;c.1825;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1825;1856;support: 113 x 187 mm;113;187;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/7aa815d52164b8072c6acdb3c31bd5be;http://www.tate.org.uk/art/artworks/turner-hilly-landscape-d18746
52840;D25503;Turner, Joseph Mallord William;artist;558;A Storm (Shipwreck): Preparatory Study;1822–3;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1822;1856;support: 388 x 484 mm;388;484;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/a319d92f17397db1cd86268434914efb;http://www.tate.org.uk/art/artworks/turner-a-storm-shipwreck-preparatory-study-d25503
14015;N05734;Sutherland, Graham, OM;artist;2014;Devastation, 1940: A House on the Welsh Border;1940;Watercolour, gouache, ink, crayon and graphite on paper on cardboard;Presented by the War Artists Advisory Committee 1946;1940;1946;support: 800 x 546 mm;800;546;;mm;date inscribed;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/80a5db214295991a20604c2d395604da;http://www.tate.org.uk/art/artworks/sutherland-devastation-1940-a-house-on-the-welsh-border-n05734
47610;D20258;Turner, Joseph Mallord William;artist;558;Luxembourg;c.1826;Gouache and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1826;1856;support: 140 x 194 mm;140;194;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/06e19914359bf1901aa299a25652c5f9;http://www.tate.org.uk/art/artworks/turner-luxembourg-d20258
23962;T09260;Wale, Samuel;artist;2465;Matthew Clark’s Crime, 1721;date not known;Ink and watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;;1997;support: 158 x 99 mm;158;99;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/93589b12b5cf0ce8ae8c7f658c5cb4b5;http://www.tate.org.uk/art/artworks/wale-matthew-clarks-crime-1721-t09260
2544;N03194;Conder, Charles;artist;934;Fan: The Romantic Excursion;1899;Watercolour on silk;Presented by Sir Edmund Davis 1917;1899;1917;support: 203 x 425 mm;203;425;;mm;date inscribed;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/786fc82d2e96263b54e4b006f0ff428d;http://www.tate.org.uk/art/artworks/conder-fan-the-romantic-excursion-n03194
8473;N02798;Lear, Edward;artist;337;Porto Venere;1860;Ink and watercolour on paper;Presented by the Earl of Northbrook 1910;1860;1910;support: 232 x 324 mm;232;324;;mm;date inscribed;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/d830f327df3dd4026227792c812650dd;http://www.tate.org.uk/art/artworks/lear-porto-venere-n02798
23320;T11002;Nicholson, Sir William;artist;1703;Wadham College, from the Back;1906;Crayon and watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;1906;1997;support: 270 x 341 mm;270;341;;mm;date inscribed;© Desmond Banks;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/69e70a341b6b8e573c475fc07f1040b8;http://www.tate.org.uk/art/artworks/nicholson-wadham-college-from-the-back-t11002
56137;D28821;Turner, Joseph Mallord William;artist;558;?A Dark Interior or Curtained Bed;c.1834–6;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1834;1856;support: 77 x 101 mm;77;101;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/b2a287c21b4a9e484a9347d5c1cf7d4e;http://www.tate.org.uk/art/artworks/turner-a-dark-interior-or-curtained-bed-d28821
22286;T09422;Barnard, Rev. William Henry;artist;2476;Meillerie. View on a Lake;1815;Graphite and watercolour on paper;Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996;1815;1997;support: 215 x 295 mm;215;295;;mm;date inscribed;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/23a8fa4349dcdf92924cb3f67429bcb4;http://www.tate.org.uk/art/artworks/barnard-meillerie-view-on-a-lake-t09422
28103;D00688;Turner, Joseph Mallord William;artist;558;St David’s: The Entrance to the Great Hall of the Bishop’s Palace;c.1795;Graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1795;1856;support: 411 x 257 mm;411;257;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/aa44c4b5a701cf275dfe1724344e4c3a;http://www.tate.org.uk/art/artworks/turner-st-davids-the-entrance-to-the-great-hall-of-the-bishops-palace-d00688
52480;D25143;Turner, Joseph Mallord William;artist;558;St Botolph’s Church, Boston, from the River Witham;c.1833–4;Watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1833;1856;support: 299 x 494 mm;299;494;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/bfd9b10b58e63dc7b32a3358293efd25;http://www.tate.org.uk/art/artworks/turner-st-botolphs-church-boston-from-the-river-witham-d25143
28640;D01231;Turner, Joseph Mallord William;artist;558;Sunset (?or Moonrise) over a Calm Sea with a Sailing Vessel, and the Coast of Kent with Reculver Church in the Distance;1796–7;Gouache, graphite and watercolour on paper;Accepted by the nation as part of the Turner Bequest 1856;1796;1856;support: 93 x 113 mm;93;113;;mm;;;https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/7088e187aa50745bb70beebdac1cbf0e;http://www.tate.org.uk/art/artworks/turner-sunset-or-moonrise-over-a-calm-sea-with-a-sailing-vessel-and-the-coast-of-kent-with-d01231
