,id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
188,16588,A00189,"Cox, David",artist,117,Four Figure Studies. Verso: Landscape with Water,date not known,Watercolour and graphite on paper. Verso: graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 146 x 171 mm,146,171,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00189_8.jpg,http://www.tate.org.uk/art/artworks/cox-four-figure-studies-verso-landscape-with-water-a00189
193,6442,A00194,"Hills, Robert",artist,260,Sheep on the Road,date not known,Watercolour and graphite on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 190 x 251 mm,190,251,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00194_8.jpg,http://www.tate.org.uk/art/artworks/hills-sheep-on-the-road-a00194
194,6443,A00195,"Hills, Robert",artist,260,Cows in a Landscape,date not known,Watercolour on paper,Bequeathed by J.R. Holliday 1927,,1927.0,support: 117 x 165 mm,117,165,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00195_8.jpg,http://www.tate.org.uk/art/artworks/hills-cows-in-a-landscape-a00195
201,6727,A00202,"Houghton, Arthur Boyd",artist,278,[title not known],date not known,Graphite on paper. Verso: graphite and watercolour on paper,Presented by Mrs E.C. Davis 1926,,1926.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00202_8.jpg,http://www.tate.org.uk/art/artworks/houghton-title-not-known-a00202
204,6730,A00205,"Houghton, Arthur Boyd",artist,278,[title not known],date not known,Graphite on paper. Verso: watercolour on paper,Presented by Mrs E.C. Davis 1926,,1926.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00205_8.jpg,http://www.tate.org.uk/art/artworks/houghton-title-not-known-a00205
217,7251,A00221,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00221_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00221
219,7253,A00223,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00223_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00223
221,7255,A00225,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00225_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00225
222,7256,A00226,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00226_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00226
224,7258,A00228,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00228_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00228
225,7259,A00229,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00229_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00229
240,7274,A00244,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00244_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00244
244,7278,A00248,"Jones, George",artist,300,[title not known],date not known,"Ink, graphite and watercolour on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00248_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00248
246,7280,A00250,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00250_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00250
250,7284,A00254,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00254_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00254
264,7298,A00268,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00268_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00268
265,7299,A00269,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00269_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00269
266,7300,A00270,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00270_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00270
286,7320,A00290,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00290_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00290
288,7322,A00292,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00292_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00292
309,7343,A00313,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00313_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00313
331,7365,A00335,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00335_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00335
340,7374,A00344,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00344_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00344
347,7381,A00351,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00351_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00351
350,7384,A00354,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00354_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00354
352,7386,A00356,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00356_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00356
356,7390,A00360,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00360_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00360
364,7398,A00368,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00368_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00368
368,7402,A00372,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00372_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00372
369,7403,A00373,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00373_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00373
370,7404,A00374,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00374_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00374
378,7412,A00382,"Jones, George",artist,300,[title not known],date not known,"Ink, graphite and watercolour on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00382_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00382
384,7418,A00388,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00388_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00388
398,7432,A00402,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00402_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00402
405,7439,A00409,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00409_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00409
445,7479,A00449,"Jones, George",artist,300,[title not known],date not known,Graphite and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00449_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00449
446,7480,A00450,"Jones, George",artist,300,[title not known],date not known,Graphite and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00450_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00450
450,7484,A00454,"Jones, George",artist,300,[title not known],date not known,"Ink, graphite and watercolour on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00454_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00454
452,7486,A00456,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00456_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00456
454,7488,A00458,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00458_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00458
456,7490,A00460,"Jones, George",artist,300,[title not known],date not known,Watercolour and graphite on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00460_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00460
458,7492,A00462,"Jones, George",artist,300,[title not known],date not known,Watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00462_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00462
461,7495,A00465,"Jones, George",artist,300,[title not known],date not known,"Ink, graphite and watercolour on paper. Verso: graphite on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00465_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00465
464,7498,A00468,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00468_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00468
465,7499,A00469,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00469_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00469
466,7500,A00470,"Jones, George",artist,300,[title not known],date not known,"Ink, graphite and watercolour on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00470_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00470
468,7502,A00472,"Jones, George",artist,300,[title not known],date not known,"Ink, graphite and watercolour on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00472_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00472
469,7503,A00473,"Jones, George",artist,300,[title not known],date not known,"Ink, graphite and watercolour on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00473_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00473
470,7504,A00474,"Jones, George",artist,300,[title not known],date not known,"Ink, watercolour and graphite on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00474_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00474
471,7505,A00475,"Jones, George",artist,300,[title not known],date not known,"Ink, graphite and watercolour on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00475_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00475
472,7506,A00476,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00476_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00476
474,7508,A00478,"Jones, George",artist,300,[title not known],date not known,"Watercolour, ink and graphite on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00478_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00478
475,7509,A00479,"Jones, George",artist,300,[title not known],date not known,"Ink, watercolour and graphite on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00479_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00479
477,7511,A00481,"Jones, George",artist,300,[title not known],date not known,"Ink, watercolour and graphite on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00481_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00481
478,7512,A00482,"Jones, George",artist,300,[title not known],date not known,"Ink, watercolour and graphite on paper",Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00482_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00482
479,7513,A00483,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00483_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00483
481,7515,A00485,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00485_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00485
483,7517,A00487,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00487_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00487
